Block Height,Timestamp,Address,Algorithm,Difficulty
3413855,2025-07-29 12:32:07,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,14.26658344402285
3413856,2025-07-29 12:33:42,Unknown,Stake,94379993.5631706
3413857,2025-07-29 12:33:34,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,16.99340499947835
3413858,2025-07-29 12:37:29,Unknown,Stake,94260868.16884466
3413859,2025-07-29 12:37:53,Unknown,Stake,88915260.37774758
3413860,2025-07-29 12:37:52,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,13.87358034655504
3413861,2025-07-29 12:41:51,Unknown,Stake,94237893.1848226
3413862,2025-07-29 12:42:39,Unknown,Stake,88937623.97848845
3413863,2025-07-29 12:43:54,Unknown,Stake,92195540.9865328
3413864,2025-07-29 12:43:40,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,14.3946213734511
3413865,2025-07-29 12:44:20,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,14.05182024147043
3413866,2025-07-29 12:44:39,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,16.61363138980681
3413867,2025-07-29 12:45:00,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02472288376679645
3413868,2025-07-29 12:48:44,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,13.49738008445839
3413869,2025-07-29 12:51:11,Unknown,Stake,88946870.51158153
3413870,2025-07-29 12:51:50,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,14.26511564234837
3413871,2025-07-29 12:51:56,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,13.81313160421089
3413872,2025-07-29 12:52:11,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,15.23788763518356
3413873,2025-07-29 12:52:28,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,16.3453448245626
3413874,2025-07-29 12:54:04,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,16.3021596016033
3413875,2025-07-29 12:57:37,Unknown,Stake,88932874.986962
3413876,2025-07-29 12:58:12,Unknown,Stake,88918546.7848285
3413877,2025-07-29 12:57:58,VB9RkKJanyR8SGRzZRtyyBbdRp4kAJ3uT1,SHA256D,15.20642519902001
3413878,2025-07-29 12:59:32,VHU81LE2bTUe5AWSHSrDHcocqRWCK4dCRo,RandomX,0.02487367694318129
3413879,2025-07-29 13:00:50,Unknown,Stake,88889342.79248983
3413880,2025-07-29 13:01:15,Unknown,Stake,88859568.8657181
3413881,2025-07-29 13:01:01,Unknown,Stake,91552449.48424743
3413882,2025-07-29 13:01:42,Unknown,Stake,93315705.40705964
3413883,2025-07-29 13:01:35,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,14.56992268204631
3413884,2025-07-29 13:02:43,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,15.54144611662087
3413885,2025-07-29 13:03:55,Unknown,Stake,93357488.87748066
3413886,2025-07-29 13:03:41,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,16.15133792545741
3413887,2025-07-29 13:04:29,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,16.08447509378718
3413888,2025-07-29 13:05:21,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,16.06394570589801
3413889,2025-07-29 13:05:23,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,15.99704029734332
3413890,2025-07-29 13:09:33,Unknown,Stake,88918799.59543577
3413891,2025-07-29 13:09:19,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,15.92955543929578
3413892,2025-07-29 13:11:28,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02562142762195932
3413893,2025-07-29 13:13:54,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02479661553724487
3413894,2025-07-29 13:16:16,Unknown,Stake,88904784.82117538
3413895,2025-07-29 13:16:27,Unknown,Stake,88904588.25255702
3413896,2025-07-29 13:17:40,Unknown,Stake,92083007.57199417
3413897,2025-07-29 13:17:26,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,15.70922002417673
3413898,2025-07-29 13:18:00,Unknown,Stake,92137686.61653505
3413899,2025-07-29 13:18:47,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,16.01026063854152
3413900,2025-07-29 13:21:41,Unknown,Stake,93054957.64925636
3413901,2025-07-29 13:21:27,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,15.89091439515495
3413902,2025-07-29 13:21:13,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,16.20347056624876
3413903,2025-07-29 13:24:42,Unknown,Stake,88970853.00274242
3413904,2025-07-29 13:24:28,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,15.82364847403339
3413905,2025-07-29 13:25:06,Unknown,Stake,88970937.37195781
3413906,2025-07-29 13:26:59,Unknown,Stake,93440640.83497825
3413907,2025-07-29 13:26:48,Unknown,Stake,93026324.97607504
3413908,2025-07-29 13:31:22,Unknown,Stake,94378411.26092297
3413909,2025-07-29 13:31:11,Unknown,Stake,89068124.35374899
3413910,2025-07-29 13:31:08,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,15.75850366653548
3413911,2025-07-29 13:32:38,Unknown,Stake,95678251.5955492
3413912,2025-07-29 13:32:25,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,17.01122153171322
3413913,2025-07-29 13:32:58,Unknown,Stake,96525005.92185496
3413914,2025-07-29 13:33:03,Unknown,Stake,96083344.76668774
3413915,2025-07-29 13:33:07,Unknown,Stake,96139299.94533664
3413916,2025-07-29 13:33:51,Unknown,Stake,96295827.55926745
3413917,2025-07-29 13:33:37,VHU81LE2bTUe5AWSHSrDHcocqRWCK4dCRo,RandomX,0.02554687902002273
3413918,2025-07-29 13:33:41,Unknown,Stake,96874626.95713496
3413919,2025-07-29 13:33:37,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,18.66346282205313
3413920,2025-07-29 13:35:07,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,18.56462168005967
3413921,2025-07-29 13:35:16,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,18.49330515845065
3413922,2025-07-29 13:36:42,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,18.56706659126349
3413923,2025-07-29 13:37:05,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,18.46263555108518
3413924,2025-07-29 13:40:24,Unknown,Stake,89491628.79754598
3413925,2025-07-29 13:41:07,Unknown,Stake,89496181.54684588
3413926,2025-07-29 13:41:13,Unknown,Stake,95515619.7856223
3413927,2025-07-29 13:40:59,VHU81LE2bTUe5AWSHSrDHcocqRWCK4dCRo,RandomX,0.02557025352534727
3413928,2025-07-29 13:44:11,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,15.89235948627496
3413929,2025-07-29 13:44:13,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,15.91831041775583
3413930,2025-07-29 13:46:13,Unknown,Stake,89552246.76850067
3413931,2025-07-29 13:46:37,Unknown,Stake,89571938.92796521
3413932,2025-07-29 13:46:23,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,19.43343248728142
3413933,2025-07-29 13:47:17,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,19.72557900009171
3413934,2025-07-29 13:47:03,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,19.84100665823054
3413935,2025-07-29 13:48:10,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,20.23890579120956
